,Users,Game_name,user_rating
1430,/user/Mattaclysm,Final Fantasy XIV: Shadowbringers,8
1432,/user/RaginPagan,Final Fantasy XIV: Shadowbringers,8
1438,/user/Akiin,Final Fantasy XIV: Shadowbringers,10
1441,/user/xSelene89,Final Fantasy XIV: Shadowbringers,10
1446,/user/22446688Bb,Final Fantasy XIV: Shadowbringers,10
1447,/user/JonnyMenthol,Final Fantasy XIV: Shadowbringers,10
1456,/user/xl33tgamerx,Final Fantasy XIV: Shadowbringers,10
1457,/user/XV_,Final Fantasy XIV: Shadowbringers,9
1459,/user/GamerDylan,Final Fantasy XIV: Shadowbringers,10
1462,/user/Arturos,Final Fantasy XIV: Shadowbringers,7
1463,/user/curzon_dax,Final Fantasy XIV: Shadowbringers,6
1466,/user/Ryskim,Final Fantasy XIV: Shadowbringers,8
1468,/user/DinoBeam,Final Fantasy XIV: Shadowbringers,4
1469,/user/saintninja,Final Fantasy XIV: Shadowbringers,9
1470,/user/Latorn,Final Fantasy XIV: Shadowbringers,10
1473,/user/DrGerm,Final Fantasy XIV: Shadowbringers,8
1475,/user/Thaksin,Final Fantasy XIV: Shadowbringers,10
1477,/user/Duncs12345,Final Fantasy XIV: Shadowbringers,10
1480,/user/DevilSurvivor,Final Fantasy XIV: Shadowbringers,10
1481,/user/KP1994,Final Fantasy XIV: Shadowbringers,10
1483,/user/rcassar,Shadow of the Colossus,6
1486,/user/Zmetekk,Shadow of the Colossus,6
1488,/user/eimisas,Shadow of the Colossus,7
1491,/user/rafaaguilera,Shadow of the Colossus,6
1496,/user/Mandulum,Shadow of the Colossus,7
1498,/user/jeffbizloc,Shadow of the Colossus,2
1506,/user/allwititnowsuck,Shadow of the Colossus,4
1508,/user/Funkymonk,Shadow of the Colossus,2
1512,/user/C3realkillah,Shadow of the Colossus,10
1515,/user/sumbodyshero,Shadow of the Colossus,0
1518,/user/Rush--21,Shadow of the Colossus,0
1526,/user/JKekaNVKZ,Shadow of the Colossus,10
1530,/user/stryder26,Shadow of the Colossus,10
1531,/user/techtronics,Shadow of the Colossus,10
1533,/user/MAFIAxMaverick,Shadow of the Colossus,10
1538,/user/B-Bog,Shadow of the Colossus,2
1539,/user/Mattyc96,Shadow of the Colossus,4
1541,/user/robomartion,Shadow of the Colossus,4
1542,/user/agent13,Shadow of the Colossus,4
1543,/user/BSchwarz95,Shadow of the Colossus,8
1544,/user/virtualvince,Shadow of the Colossus,6
1545,/user/GamergodsFail,Shadow of the Colossus,9
1546,/user/DrZomboid,Shadow of the Colossus,9
1547,/user/abekdd,Shadow of the Colossus,9
1548,/user/Archound,Shadow of the Colossus,8
1549,/user/network_scroll,Shadow of the Colossus,8
1550,/user/trarantino,Shadow of the Colossus,8
